"text","val"
"#pandeyjiagnrock  #Appy #womens #day  #har din hamara hai # yeeeeeee\n#jaimatadi #jaiguruji  https://t.co/qoyj2qqP7D","positive"
"RT @poosmv: #pandeyjiagnrock  \n#Appy #womens #day  \n#har din hamara hai # yeeeeeee\n#jaimatadi… https://t.co/7Lc7JPE2OQ","positive"
"RT @poosmv: #pandeyjiagnrock  \n#Appy #womens #day  \n#har din hamara hai # yeeeeeee\n#jaimatadi… https://t.co/7Lc7JPE2OQ","positive"
"#pandeyjiagnrock  \n#Appy #womens #day  \n#har din hamara hai # yeeeeeee\n#jaimatadi… https://t.co/7Lc7JPE2OQ","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"@ButtSumayyah  \nHamara aazam \nSab ki isllah  )","positive"
"@SRKTitli issne nahi diya:/ he is loyal to u :P Haan kahi dur bhag ke saath ghar banayenge hamara 😍😂 @IshqbaazIshaan","negative"
"India Waalo Baaki Baatein baad main:\n\nAap sirf hamara BHUTTO maar ke dikha do \n😁😁\n #WomenNationBuilders","positive"
"India Waalo Baaki Baatein baad main:\n\nAap sirf hamara BHUTTO maar ke dikha do \n😁😁\n #LetsMakeKarachiClean","positive"
"@RabNawazPPP India Waalo Baaki Baatein baad main:\n\nAap sirf hamara BHUTTO maar ke dikha do \n😁😁","positive"
"India Waalo Baaki Baatein baad main:\n\nAap sirf hamara BHUTTO maar ke dikha do \n😁😁\n #PPP4Women","positive"
"RT @JiffreyFazal: @RehemKhan1 @ImranKhanTPT @iramizraja @HyderKhojaa \nsanga aao hamara pakistan cricket ka mustaqbil k leyeh.  https://t.…","positive"
".\nIndia Waalo Baaki Baatein baad main:\n.\n.\n.\n.\n.\n.\nAap sirf hamara BHUTTO maar ke dikha do \n\nFollow @Mazahiya_sms\n\nFollow @HuM_Dukhi_SaNaM","positive"
"message from indian middle class is clear - modiji reforms chahiye lekin hamara dimag ka dahi nahin hona chahiye bass.. :-))","positive"
"@RehemKhan1 @ImranKhanTPT @iramizraja @HyderKhojaa \nsanga aao hamara pakistan cricket ka mustaqbil k leyeh.  https://t.co/zoJE1hsATv","positive"
"India Waalo Baaki Baatein baad main:\n\nAap sirf hamara BHUTTO maar ke dikha do ","positive"
"RT @Rajsan2012: Says the one who Hounded Modi for 14 years :-) https://t.co/LormggwF7S","positive"
"RT @AnupamPkher: Herath Mubarak to my Kashmiri Families All over the world. हेरथ मुबारक सारनी। मयोन्न नमस्कार ते ओरज्ज़ू। ","positive"
"RT @AnupamPkher: When a mother wishes her son ""WohorWod Mubarak"" (Happy Birthday in Kashmiri), 'years' have nothing to do with it. https:…","positive"
"@BDUTT my previous tweet, aapne sirf FAV kiya... RT kardete hamara bhi bhala hojata ","positive"
"RT @sardanarohit: हा हा हा. सही पकड़े हैं ! :-) https://t.co/GdvW5391OL","positive"
"RT @AnupamPkher: Please go ahead. Nobody has any copyright on it . We do live in a country which has FREEDOM OF SPEECH.  https://t.co/OrC…","positive"
"RT @AnupamPkher: Thank you Boman for your love and wishes. May there be no Khurana in our Ghosla ever. Love always.  https://t.co/I4ffTCU…","positive"
"RT @AnupamPkher: Nobody has the IPR for my speech. It was not a commercial assignment. My thoughts belong to me. Pls go ahead.  https://t…","positive"
"@komal_indian Arey Hamara chodo ab yeh mat kehna TV footage doctored thi aur Bangladesh match jeeta ","positive"
"@pahallavi I think yes... but hamara dil bada hai.. unki chhoti baaton k liye no time.. achchhi cricket khelenge n harayenge..","positive"
"@ghazala200 @sharmoDr \nindustry job me koi weekend nai hota \nhamara different schedule hota hay","positive"
"Sahi baat Hain, Kabhi Kabhi to hamara bhi dhyan bhang ho raha tha Match dekhte huye.....-:-) https://t.co/g680oX3XRU","positive"
"@sharmoDr \nhahaha bilkul aisa hi hota hay hamara thora different schedule hay is liye monday se koi khas dushmani nai ","positive"
"RT @charmar4ever: @RjKunwarFan Rj sirf zona hamara bhi day special ban gaya :-) @kazi_heena @gabada_shefali @Kunwar_Amar_Fc @ambond_p @Admi…","positive"
"A great #Mahashivratri  to all \n@siyaramsharma @DrRamendraSingh @singhjph @dhishkiaun @Hamara_Desh @SahuPradipta https://t.co/t7yT13yoZL","positive"
"WOHI HORAHA HEI JO HAMARE GHARON ME HAMATE BARE KARTE HN,,,,,YE TU HAMARA CULLLLLLLLLLLTURRRRRRREEEE HEIIIII:-) :-) https://t.co/WkpPc6MvAF","positive"
"@SKBelieves @jazib_Handsom Thora purana nahi jazib Ye bachpan se Hamara dost hai  am I right Sohail","positive"
"Comsats wala chutiya hain \nHamara 3 bar hota hain :p https://t.co/FBhDheu8va","negative"
"@msdhoni @imVkohli Congratulations Team India. #AsiaCup hamara hai.  https://t.co/FmkhwfNKOG","positive"
"Hamara india jit gya....:-)  yeppppppp  jai hoooo","positive"
"@iqrarulhassan hahaha bs dekh len kia ho ga hamara bhai ","positive"
"HAMARA PIYARA #Pakistan AUR ISS KA PIYARA CULTURE ''MITTI KI BERTAN'' :p https://t.co/EDKS7B0xd4","negative"
"RT @PillsAndChill: Jeetega tou hamara parosi he na ","positive"
"RT @PillsAndChill: Jeetega tou hamara parosi he na ","positive"
"RT @PillsAndChill: Jeetega tou hamara parosi he na ","positive"
"RT @PillsAndChill: Jeetega tou hamara parosi he na ","positive"
"Jeetega tou hamara parosi he na ","positive"
"RT @AnupamPkher: Wishing All The Best to #SpeakUpIndia March today at JUHUBeach at 7.30 A.M. Jai Ho. https://t.co/dWNU8DjqTy","positive"
"RT @AnupamPkher: Debate Will have a repeat telecast on #abpananda Bangla at 11.30pm.   https://t.co/Cugdv1ftPq","positive"
"RT @AnupamPkher: Sharing my My speech with you all at #TheTelegraphNationalDebate in Kolkata. https://t.co/lOSLAAm31H","positive"
"RT @AnupamPkher: What an Amazing picture my friend. You look good in anything but a uniform suits you the best. Good luck.  https://t.co/…","positive"
".@theFirstHandle Waise hamara favorite y wala tha. \nhttps://t.co/Z5ln7MH523","positive"
"@AfshanMasab dakhen jee hamara Alpial MANJ bhai hy ","positive"
"@TeamMHafeez Hafeez bahi please ap say sab ko expectations hi please disappoint mth karey ga #Wc_16 #is_bar_cup_hamara_hai #In_Shah_Allah ","positive"
"@shruteeism hamara bhi thoda bhavishya bani kar do please ","positive"
"@xtahzy May be yet another ""neutral"" distant wing of pariwar. Those siblings multiply in sty like hum 100 hamara 1000 :-)","positive"
"@anjanaomkashyap  aur hamara ? ","positive"
"Dard Bhare Msg Tou Hum Yunhi Bhej Diya Krte Hai,,,\n\n        'KhaaAan'\n\nAj Tak Kisi Baap Ne Wo Beti Peda Nhi Ki Jo Hamara Dil Tor Dy  !...","positive"
"RT @Newbie238: main chaj pataasay wandaan 😂😂😂\nCJ Iftikhar sey hamara @CMShehbaz @MaryamNSharif koi talaq nahi :p https://t.co/A20TSkQFLs","negative"
"RT @Newbie238: main chaj pataasay wandaan 😂😂😂\nCJ Iftikhar sey hamara @CMShehbaz @MaryamNSharif koi talaq nahi :p https://t.co/A20TSkQFLs","negative"
"main chaj pataasay wandaan 😂😂😂\nCJ Iftikhar sey hamara @CMShehbaz @MaryamNSharif koi talaq nahi :p https://t.co/A20TSkQFLs","negative"
"India Waalo Baaki Baatein baad main:\n\nAap sirf hamara BHUTTO maar ke dikha do ","positive"
"RT @DrShobha: Former spoke about building India and the latter for breaking India  \n\n https://t.co/sNESdgG8wg","positive"
"@Hamara_Desh @sudhirchaudhary Ak must be feeling Jealous &amp; LeftOut :-)","positive"
"RT @centerofright: BJP will have numbers in Parliament to pass GST by July 2016, says Morgan Stanley -  https://t.co/Ek8pswdauA","positive"
"@naimhyd bhai ab katheria bhi mukar gaya apni hate speech pe, itni jaldi haar mangaya kya ukhaadenge yeh hamara  @NirajPuranik @ndtv","positive"
"@Ubrangala @mitlal @Swamy39 PHAT GAYEE SAALE KI :p BHAAG SALEY BHAAG, THUMKO BHAGAA BHAGAA KE MAARNA HAMARA KAAM HAI https://t.co/FWIZVAQtNx","negative"
"RT @of_niti: @The_Utkarshian @NiSid_Lover @niti_taylor  I wish on that lottery hamara desh ka nam ho.:-)","positive"
"@The_Utkarshian @NiSid_Lover @niti_taylor  I wish on that lottery hamara desh ka nam ho.:-)","positive"
"RT @crazy4fawad: Do I love these videos or do I love these videos  \nEsp hamara blush karta hero #FawadKhan \nhttps://t.co/m71eC1xpvc\nhttps…","positive"
"RT @crazy4fawad: @CrazyyyBird @sheenagone hahaaaa haan! Woh dilli mein aise milne se raha ...hamara biggggg wala hiiii toh bol hi dena :-)","positive"
"RT @crazy4fawad: @CrazyyyBird @sheenagone hahaaaa haan! Woh dilli mein aise milne se raha ...hamara biggggg wala hiiii toh bol hi dena :-)","positive"
"@CrazyyyBird @sheenagone hahaaaa haan! Woh dilli mein aise milne se raha ...hamara biggggg wala hiiii toh bol hi dena :-)","positive"
"Do I love these videos or do I love these videos  \nEsp hamara blush karta hero #FawadKhan \nhttps://t.co/m71eC1xpvc\nhttps://t.co/vPVleq31LH","positive"
"@SubhanSahilPTI I hope kuch acha hi hoga... Remember hamara mazhab bhi acha gumaan rakhnay ki targheeb deta hai ","positive"
"Hamara yaar #KanhaiyaKumar  ","positive"
"No doubt Kanhaiya Kumar is a great Orator. \n\nPar hamara leader toh @ArvindKejriwal Hai ji ","positive"
"@RedmiIndia swagat nhi karoge hamara  haha #RedmiNote3   #MiLaunch","positive"
"@KanzaSohail98 nice khush gawar pic :-)","positive"
"Hahahahhahahaha khush rehti hun :p tumhri tarah roug nahi palay huay 😂😂😂 https://t.co/iLgMFY7rND","negative"
"@saadyze @Taimurlfc @SAswanii Khush raho :p https://t.co/Q01Gz8TY9u","negative"
"RT @aamnawan: Insan Kisi has m khush nh :P\rhttps://t.co/ozRnwXDcF2","negative"
"Insan Kisi has m khush nh :P\rhttps://t.co/ozRnwXDcF2","negative"
"@Ikashifsiddique khush raho ) @Mishi091_","positive"
"@Kiran_Lodhi1 @WaseemBadami @iqrarulhassan @fahadmustafa26 @SanamBalochfans Gud Allah is guriya ko hmesha khush rakhe ","positive"
"RT @SummaiyaMairaj: @Huccain1 dua karon gi bilkul esi ho :p ab Khush? xD https://t.co/1rBmixv800","negative"
"@Huccain1 dua karon gi bilkul esi ho :p ab Khush? xD https://t.co/1rBmixv800","negative"
"@jessicakaur27 Wah Wah jessi..aaj Rishtey ke collage...khush kita aa (Srry but khushi me punjabi hi nikalti :p) i mean apne khush kr dia ","positive"
"RT @swati377: Chalo ab khush??.:p http://t.co/4WNLdwuuS1","negative"
"Thanks bacho good show, good night sweet dreams, jeetey raho khush raho ","positive"
"Par tum ruk jaati toh khush bhi rehta   https://t.co/EZnqOFfAHV","positive"
"Khush hu Boht kafi dino baad ))","positive"
"RT @RanaAyyub: aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"RT @biyaali57: \nKhush rahain, salamat rahain. Ameen https://t.co/RauoDZwddR","positive"
"@twistingthrough You too ","positive"
"Chlo koi baat nhi...\nYe dekho aur khush ho jao  https://t.co/aO87tVDwtH","positive"
"RT @RanaAyyub: aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"@tomnjerrytwo chhod tu nahi samjhega.. Khush reh ","positive"
"@bhutiya_m That is so sweet. Thank you for taking the time to read my work. I really appreciate it ","positive"
"Better yahi h k khush raha jaye is se bilkul right place p lines bntii hain ( your smile) ! ","positive"
"@kiran_sahota18 koi pakaye na pakaye main khush zarur kar sakta hun tumhe pura din ","positive"
"insani fitrat hai, jaisey koi b khush ho kar chalan nahi pay karta aur yeh nahi kehta k wahh acha kaam kiya  @imran_nomi @_Mansoor_Ali","positive"
"@RaajDeewana mei to khush hi rehti hu  ap bhi has lia kro mere sath.. sikhaya mene aaj apko bhulna mat ok sweet krele ;)","positive"
"@DrAwab Ap aise hy khush hojaen..this type of illusion is making PTI , a laughing stock  @akmehsudPTI","positive"
"RT @MariyaAfridi: @alinaakbar22 hmm kar diya change api ab khush ","positive"
"@yumnahrazzaq @ffAizan_k  Khush AmdeeeD ","positive"
"RT @4455nabi: @shiffa6317 app b khush raho hamesha....\n#AsalBaatYehHai","positive"
"@khushsundar You three looks Gorgeous mam  Cute Khush  Very Cute Avi  &amp; Bubble Cute Ani ","positive"
"RT @4455nabi: @shiffa6317 app b khush raho hamesha....\n#AsalBaatYehHai","positive"
"RT @4455nabi: @shiffa6317 app b khush raho hamesha....\n#AsalBaatYehHai","positive"
"@shiffa6317 app b khush raho hamesha....\n#AsalBaatYehHai","positive"
"\nKhush rahain, salamat rahain. Ameen https://t.co/RauoDZwddR","positive"
"Happy Happy Happyyyy Birthday  stay pretty, love you n your voice, khush raho *hugs n kisses* @AjeebSi","positive"
"@maham2910 hahahahaha apni tareef pay kaun khush nahi hota ","positive"
"Aj sab cancel sirf #TariqAziz the Legend k lei.. Thankyou so much @AamirLiaquat sir Apne Humein khush krdia   #InaamGhar","positive"
"RT @Silent_Ome: bs khush raho aap yeahi dua hai meri :-) https://t.co/9TM48ivUK9","positive"
"bs khush raho aap yeahi dua hai meri :-) https://t.co/9TM48ivUK9","positive"
"@aneeszafar03 aray nahi nahi, tum achi ho jubhi tou us nae or us k ghar walon nae tumhein select kia tou yeh un ki khush naseebi hoi naa :-)","positive"
"@sheenaabidashah khush nahi hain isi liye itne followers hain aap k ","positive"
"RT @RanaAyyub: aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"RT @Malaimaark: khush raho or khush rehny do ))","positive"
"Ay Dil tu Q khush hota ha....!! :\ :P\nPagal..?\nSirf Mosam badla hai log nahi.  :"","negative"
"khush raho or khush rehny do ))","positive"
"RT @RoyalViratian: HAPPY BiRTHDAY !! @Bhu_umi 🎂🎂🎉🎊 Hope You Enjoyed  ur day , Keep Smile ))  Hamesha Khush Raho Yahi Duaa h :P","positive"
"@FittayMuu hmm  asy hi khush rahu","positive"
"HAPPY BiRTHDAY !! @Bhu_umi 🎂🎂🎉🎊 Hope You Enjoyed  ur day , Keep Smile ))  Hamesha Khush Raho Yahi Duaa h :P","positive"
"RT @RanaAyyub: aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"Hojao khush :p  https://t.co/ZlAhkrNoVR","negative"
"@iKhuzaima yep. \nWas saying generally k karachi walay barish k maray agay kia jayen yaheen khush hua karenge :-p","positive"
"RT @RanaAyyub: aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"@OmamaGhauri khush rahein hamesha  x","positive"
"RT @RanaAyyub: aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"RT @RanaAyyub: aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"RT @RanaAyyub: aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"RT @RanaAyyub: aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"RT @RanaAyyub: aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"RT @RanaAyyub: aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"@KameeniChhori Har kissi ko nahin miltaa yahaan pyaar zindagi main, jinhey naseeb hua, un doston ke liye hum khush hain ","positive"
"RT @RanaAyyub: aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"RT @RanaAyyub: aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"aaj zamaane baad bhojpuri mein baat kiya. dil khush ho gaya ","positive"
"RT @Wai_Qurban: ok Ap achay ho\nshareef log ho\n\nsari buriyain ham mai hai \n\nkhush raho G","positive"
"ok Ap achay ho\nshareef log ho\n\nsari buriyain ham mai hai \n\nkhush raho G","positive"
"Kabi Kisi Ka Dil Nhe Torte :( #AADII Jaha Rho Khush Rho ","positive"
"RT @SKsCombatant: tumhare samne hon apny liye time nahi @SalmanzDarling ) khush raho aap idher hi hon mei kuch ho tag kar dekh leinge haha","positive"
"tumhare samne hon apny liye time nahi @SalmanzDarling ) khush raho aap idher hi hon mei kuch ho tag kar dekh leinge haha","positive"
"RT @RabiaSultana17: @Srishti88378541 @Deepika71894314 @77_gcd @princessreena2 @RajjatTokas ok Chad dita,hun khush :-) :-)","positive"
"@Srishti88378541 @Deepika71894314 @77_gcd @princessreena2 @RajjatTokas ok Chad dita,hun khush :-) :-)","positive"
"@springpassionlo Jazak Allah. Khush Rahen ","positive"
"@Virsa08 khush rhe..muskurate rahe ","positive"
"@fahimmehsood1 @shadab_17 hum itne khush nasib kaha k insy mil paye ","positive"
"RT @scyber577: @Pari_Bulbul oji mene to kr liya follow apko \nYey kitna khush hu me  @dramebaaz_ani @Imshellyverma @jhalli_diku @RJSpeak…","positive"
"@Pari_Bulbul oji mene to kr liya follow apko \nYey kitna khush hu me  @dramebaaz_ani @Imshellyverma @jhalli_diku @RJSpeaks_","positive"
"@Riskiest_Poison yeah ok..bas aap tweets bhecte rehnaa, aapke fans padhke khush hote rahenge ","positive"
"@SuhailGics yup kuttain hain  khush lakin ham hain ashaab e kaihaf k kuttay jaisay kuttay  jo wafadaar to hota hai samjhay bachuuuu","positive"
"*\nSTART WITH NAME OF\n\n      (:""ALLAH""\n\nBin Mangy Hath Par Rakh De Khushyan Saari\n\nItna Mehrban Tum Par Mera ""RAB"" Ho Jaye.Aamen\nS.Khush.R","positive"
"@awasthis @SriSri @ArtofLiving Aur aap huye khush , @Zakka_Jacob ko bhi bata dijiye ","positive"
"Khush raho apna khayaal rakho janaan humara waqt qareeb hai  love you Shaikh sahab ","positive"
"@OyeRaja Masha Allah. Nice to hear that :-) Khush raho","positive"
"Khush hoo mai bohot ","positive"
"RT @Lazyaholic: @ProfOfDarkArts Happy Birthday &lt;3 Allah apko hamesha khush rakhay  🎈","positive"
"@ProfOfDarkArts Happy Birthday &lt;3 Allah apko hamesha khush rakhay  🎈","positive"
"@farwa_hassan_ happy birthday farwa  moula khush rakhen ❤","positive"
"@madeehaayaan Arey waaah, Masha Allah tabarak Allah la Quwwata illa billah. Allah khush rakhay. ","positive"
"@ALaakas_786 Khush rahiyey jee    kaisey mizaaj hain","positive"
"@SmitaMukerji and want you to respect mine khush rahein ","positive"
"@nabzartist thank you Nayab ji.. Very sweet words yaar.. Allah aapko khush rakhe...  x","positive"
"Aww so sweet \nkhush rho always   https://t.co/Pxk8lP1bmn","positive"
"Muskurane Ki Adat Bhi Kitni Mehngi Padi Humko, Bhula Diya Sabne Ye Kehkar Ki Tum To Akele Bhi Khush Reh Lete Ho ","positive"
"@GenialMalik khush rahien. Have a very much blessed bday bro. Wish u lots of joy and success ahead ","positive"
"RT @GenialMalik: @ammanby15 bohat bohat shukriya bhai ) khush rahein hamesha.","positive"
"Aj Me Bhot Khush Hun  &lt;3","positive"
"RT @BeSameerKapoor: @IAMRAVIRAJESH Happy New Year In Capital Ravi Rajesh Bhai :D Love ur Dp. Khush Rho Bhai ","positive"
"@zaeemsays tusi khush ty asi khush ","positive"
"""@golumechanics: @iMaria_K yuchh  like u in my life via twitter"" khush-fehmiyan","positive"
"@FaqatApkaAhsan I'm fit and fine  you tell O. And khush Amdeed to you:p coz I'm a really old Twitter freak xD","positive"
"Aap Bhi Salamat rahain Sub Khush Rahain-)) https://t.co/EFRrILIE0K","positive"
"larKiyaa kitni khush hoTi hain mujhy block kar k :3 :P \nQasam sy mujhy ap sy b ziyada khushi milti ha jab tum log... https://t.co/t2UC3UEjmz","negative"
"Beloved Boss :* Birthday Khoso Jamal Nasir Allah Apko Hamesha Khush rakhy ","positive"
"@eemanyyy anytime girl , stay khush ","positive"
"@AttiqChaudhery Ameen, jazakAllah sir. khush rahein ","positive"
"@Solfu1981 so cute, Allah lambi zindagi dey isay aur hamesha khush rakhey.. Ameen )","positive"
"@Dashng_rajput bohat shukriya veer ji, khush rahein )","positive"
"@sardesairajdeep kitna khush ho raha hai..rain dekh ke Medhak jaise.  @SriSri","positive"
"@sardesairajdeep 'aj khush to bhot honge tum' ","positive"
"Ap kon ho\nap kaha rata ho\nbolo bolo bolo   :-D :-D\nkhush hue — merasa konyol","positive"
"RT @voiceofheart14: Bahot himmat ka kaam hai... khush rehna...\nIts not easy... ","positive"
"@Kami_i that's so very sweet of you Kami bhai )\nAllah aapko hamesha khush rakhey.. Ameen.","positive"
"RT @SyyedZeeshan: @UmarZebJanjua AHAHAHAHAHAHHA XD Allah apko hmesha khush rakhy ","positive"
"@UmarZebJanjua AHAHAHAHAHAHHA XD Allah apko hmesha khush rakhy ","positive"
"RT @khan_saudia: @Mahi_s_Way Hamesha Khush Rahein Royal Highness.. ","positive"
"@Mahi_s_Way Hamesha Khush Rahein Royal Highness.. ","positive"
"@realshoaibmalik jummah mubarak shoaib bhai .. hmesha khush rahen or dhair sari kamyabi de Allah apko... ","positive"
"@Divya_Agarwal18 main bahut khush hun. online ate hi article dekha .. badme rt's ka barsat aur kya chahiye i am soooooo happy..)))))))))","positive"
"@JoneElia Bohat shukriya Ameen bhai,\nkhush rahein )","positive"
"Juma mubarik \nHmesha Khush Rahein  \n@fahadmustafa26","positive"
"Juma mubarik \nHmesha Khush Rahein  \n@iqrarulhassan","positive"
"@WaseemBadami Juma mubarik \nHmesha Khush Rahein  ","positive"
"@ammanby15 bohat bohat shukriya bhai ) khush rahein hamesha.","positive"
"RT @jemin_p: meri tweeter yatra safal rahi !! bacchhe seekh rahe hai, hum khush hue  https://t.co/kCYaGESKds","positive"
"@virkat bohat shukar sir, khush rahein ","positive"
"meri tweeter yatra safal rahi !! bacchhe seekh rahe hai, hum khush hue  https://t.co/kCYaGESKds","positive"
"@bahetiridham hahahaha aap khush rahe yhi dua hai hamari ","positive"
"@BimarSiDoctor khush rhen ","positive"
"@hatsnbeards Mugembo khush hua ","positive"
"@ssrimany @firstpost Ab to CM bengal ki Written guarantee mil gai hai Pakistan ko. team a rahi hai. OK? Ab khush ho? ","positive"
